censusGroup2010,long,lat,pop_2010,Density(1000p/sqm),area(sqm),PLx2_Pop,PLx2_Pct,Avgtempreductionnight_w808pm,Green_P,Imp_P,MFor_P
370630020153,-78.95235328,35.97148471,691,0.569474205,0.393506675,124,19.40532081,0.482426,43.95000076,55.86000061,32.56999969
370630020161,-78.97119197,35.95814188,3228,2.401708874,7.752716245,2044,61.39981977,0.707448,61.79000092,36.90000153,52.20000076
370630020162,-78.96166856,35.95937928,2156,1.365058924,2.943067039,591,29.11330049,0.46301,45.61000061,53.75999832,33.11000061
370630020171,-78.97886642,35.99501904,2308,0.206985974,0.477723628,39,1.900584795,1.052558,88.52999878,10.69999981,74.72000122
370630020172,-78.95952188,35.97964637,1339,0.567855559,0.760358593,40,2.575660013,0.910234,72.51000214,26.76000023,62.75999832
370630020173,-78.98481277,35.96643061,3007,0.496179566,1.492011955,584,21.58167036,0.896782,73.73000336,25.31999969,63.45000076
370630020181,-79.00096892,35.92357953,2327,0.502378038,1.169033694,231,8.763277693,0.850721,73.01000214,25.04999924,61.04999924
370630020182,-78.98560992,35.94533335,2701,0.598959483,1.617789562,1206,40.71573261,0.889008,72.44000244,25.68000031,63.54000092
370630020183,-78.97795279,35.92711239,2455,0.283058004,0.6949074,212,8.885163453,1.009655,83.40000153,14.42000008,72.09999847
370630020191,-78.97281259,35.9033351,1399,0.284886767,0.398556587,499,36.34377276,1.04142,83.41000366,15.05000019,73.44000244
370630020192,-78.99290699,35.87854232,1536,0.127066842,0.19517467,554,35.95068138,1.08842,91.73000336,6.090000153,79.19000244
370630020193,-78.98976682,35.89821934,1473,0.419362535,0.617721014,60,3.976143141,1.025938,83.83999634,14.63000011,73.56999969
370630020201,-78.95810003,35.88321462,2032,0.285788506,0.580722243,76,4.67404674,1.076318,88.55000305,10.38000011,77.48999786
370630020202,-78.93092616,35.88194935,3862,0.41550579,1.604683359,152,4.471903501,0.900007,81.26000214,15.15999985,64.48000336
370630020211,-78.94858209,35.90541503,3016,0.614721855,1.854001114,604,21.44886364,0.606078,60,37.38999939,43.40000153
370630020212,-78.92628536,35.90655887,1416,1.327699985,1.880023178,371,27.72795217,0.736309,67.55999756,31.15999985,52.68000031
370630020221,-78.92498671,35.91311583,1822,1.47745822,2.691928878,665,29.88764045,0.675429,65.68000031,32.25999832,47.38999939
370630020222,-78.92066611,35.92153273,2485,1.893140053,4.704453031,370,19.58708311,0.692957,63.13000107,36.24000168,50.52999878
370630020231,-78.94679155,35.91914586,1195,1.28906014,1.540426868,184,15.47518923,0.899395,81.52999878,18.11000061,63.13999939
370630020232,-78.93719692,35.91682012,1613,1.177340466,1.899050172,459,27.06367925,0.732083,65.84999847,32.56999969,51.54999924
370630020241,-78.93140217,35.93614511,3582,1.166107486,4.176997016,264,7.073954984,0.782725,68.08000183,28.89999962,55.56000137
370630020242,-78.94154598,35.92500813,1033,1.759999455,1.818079437,174,22.92490119,0.863743,73.84999847,25.86000061,60.99000168
370630020243,-78.93217396,35.92661731,1233,1.783823198,2.199454003,64,5.628847845,0.814158,68.41000366,30.70999908,56.34999847
370630020251,-78.91648173,35.93514892,2114,0.954491438,2.017794899,409,20.98512057,0.762898,68.55000305,28.93000031,54.79000092
370630020252,-78.90302379,35.92940893,2464,1.114001104,2.74489872,394,16.43035863,0.728674,69.94000244,28.09000015,52.93000031
370630020253,-78.89499009,35.92300065,1360,0.817736709,1.112121925,333,27.81954887,0.947298,80.56999969,18.47999954,66.65000153
370630020261,-78.91161586,35.94627425,2265,1.550393964,3.511642329,913,47.90136411,0.598766,58.49000168,37.66999817,44.06000137
370630020262,-78.89235133,35.94508285,3548,0.838791903,2.976033673,1263,38.84958474,0.878351,71.95999908,27.21999931,62.09999847
370630020271,-78.87721375,35.94039015,1473,0.208191936,0.306666721,628,50.07974482,0.788143,73.47000122,25.43000031,55.97000122
370630020272,-78.8983602,35.89438982,4164,0.47670925,1.985017317,1293,29.52054795,0.757434,71.27999878,26.12999916,53.61999893
370630020273,-78.9079154,35.90560737,1635,2.164568073,3.539068799,466,33.16725979,0.863888,75.94999695,23.31999969,62.36999893
370630020281,-78.83341244,35.9121195,2246,0.200174471,0.449591862,86,5.128205128,0.870442,79.06999969,19.34000015,62.08000183
370630020282,-78.81342249,35.91422154,1183,1.223925625,1.447904014,303,30.11928429,0.679444,62.88999939,30.63999939,45.36999893
370630022001,-78.90179059,35.99941187,1946,1.264814119,2.461328276,1452,72.85499247,0.255522,31.77000046,67.62999725,16.65999985
370630023001,-78.90391404,35.98836063,1154,1.778583329,2.052485162,544,73.11827957,0.446123,52.09999847,45.18999863,32.40000153
370630023002,-78.89850212,35.98610664,177,0.305092459,0.054001365,176,100,0.26666,49.00999832,49.90000153,18.62999916
371350107031,-79.0900113,35.91176594,2404,2.046964379,4.920902367,600,30.24193548,0.580532,62.56999969,36.97000122,38.81000137
371350107032,-79.08111188,35.91107436,881,1.944151436,1.712797415,856,63.78539493,0.492382,60.56999969,38.63000107,33.20000076
